# timestamp, sensor_id, mac_addr, frequency_khz, rssi_dbm, name, scan_time_start_us, scan_time_end_us
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:05, -1, -73.7160971010052, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:6f, -1, -72.51950674702091, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:52, -1, -73.0541375773236, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:aa, -1, -73.54241646101785, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:c9:4a, -1, -88.8163847809449, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:c9:ca, -1, -88.45818734709847, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:c9:57, -1, -88.99551676141057, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:c9:74, -1, -89.20474916502664, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:0e:b6, -1, -72.96507122670936, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:0e:87, -1, -71.5748509078876, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:0e:3e, -1, -72.77771259198529, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:0e:8a, -1, -73.01019671257721, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:42:74, -1, -84.79465181708066, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:d6:4e, -1, -91.2184081832916, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:42:4a, -1, -84.43506754859577, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:d6:9b, -1, -89.66838231532866, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, 33:d1:29:9c:42:ca, -1, -83.37762998982167, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:cf:b3:1a, -1, -92.53990878738907, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:e1, -1, -66.71990185288399, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:6c, -1, -67.28569029262208, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:90, -1, -66.72951567015289, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:e4:b2, -1, -66.66353720232779, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, af:9f:f5:57:7c:af, -1, -83.0, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:a7:19, -1, -80.72542008708105, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:a7:be, -1, -77.54204590796026, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:a7:94, -1, -79.64943345465947, , -1, -1
14911412476, ios_2022-01-12_16.32.48_000/wifi_sensor, e1:64:44:e3:a7:df, -1, -75.98808648355724, , -1, -1
