# Interpolated WGS84 points with column2
# Format: column2, latitude, longitude
hl_2022-01-13-14-32-02-837.001/hetrig_117245629, 47.37053898987691, 8.541461532304265
hl_2022-09-01-22-33-16-669.000/hetrig_122214087, 47.37165582528836, 8.541420666675236
hl_2022-01-13-14-32-02-837.001/hetrig_122360474, 47.37113920550721, 8.541969382630018
hl_2022-01-13-14-32-02-837.001/hetrig_125363383, 47.37141100519654, 8.541220738708867
hl_2022-09-01-22-33-16-669.000/hetrig_125678982, 47.37168845246981, 8.541412409144117
hl_2022-01-13-14-32-02-837.001/hetrig_119093573, 47.371593131667076, 8.537521326691266
hl_2022-09-01-22-33-16-669.000/hetrig_127988912, 47.371711935876945, 8.541401497138805
hl_2022-06-19-20-32-34-462.002/hetrig_126304546, 47.372231259602216, 8.540713243658196
hl_2022-09-01-22-33-16-669.000/hetrig_116901248, 47.37160878295097, 8.54142736392488
hl_2022-09-01-22-19-32-361.001/hetrig_130910453, 47.37104673890234, 8.541121285359639
hl_2022-01-13-14-32-02-837.001/hetrig_129490045, 47.37126271837465, 8.541153822293637
hl_2022-06-19-20-32-34-462.002/hetrig_128614476, 47.37221594325686, 8.540729819456493
hl_2022-06-19-20-32-34-462.002/hetrig_133829974, 47.372180239170326, 8.54076616258162
hl_2022-01-13-14-32-02-837.001/hetrig_128135299, 47.37127379511111, 8.541143627866264
hl_2022-09-01-22-19-32-361.001/hetrig_134375348, 47.3710246187779, 8.541125957771841
hl_2022-09-01-22-33-16-669.000/hetrig_135611681, 47.371781564052945, 8.541382100360424
hl_2022-06-19-20-32-34-462.002/hetrig_138052672, 47.372042133544184, 8.541259535835746
hl_2022-09-01-22-33-16-669.000/hetrig_137921611, 47.371797723930726, 8.541382721535209
hl_2022-09-01-22-33-16-669.000/hetrig_130067849, 47.3717334796688, 8.541392731161098
hl_2022-09-01-22-33-16-669.000/hetrig_140231541, 47.371811430543026, 8.54138325585958
hl_2022-09-01-22-19-32-361.001/hetrig_137609250, 47.37100262345901, 8.541134088781895
hl_2022-06-19-20-32-34-462.002/hetrig_143797353, 47.37211176883583, 8.540837133565004
hl_2022-06-19-20-32-34-462.002/hetrig_136574689, 47.37215962366598, 8.54078525293046
