# timestamp, sensor_id, id, rssi_dbm, name
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1376, -80.16371305284352, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1340, -78.38327140703768, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:2043, -84.29395591742733, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1546, -97.60804331156777, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:995, -93.90886160238142, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1152, -88.53211617041174, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1860, -90.68871951251812, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1362, -97.99361875597606, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:5945, -99.1250116696224, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:954, -127.0, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:946, -102.67120655760861, 
14911412476, ios_2022-01-12_16.32.48_000/bt_sensor, 4100547d-729c-387a-e5d1-379f5c1dec9b:0:1550, -98.0,
