# Interpolated WGS84 points with column2
# Format: column2, latitude, longitude, elevation
hl_2022-01-13-14-32-02-837.001/hetrig_117245629, 47.37053898987691, 8.541461532304265, 449.39810534155754
hl_2022-09-01-22-33-16-669.000/hetrig_122214087, 47.37165582528836, 8.541420666675236, 429.826045149835
hl_2022-01-13-14-32-02-837.001/hetrig_122360474, 47.37113920550721, 8.541969382630018, 461.7265274448471
hl_2022-01-13-14-32-02-837.001/hetrig_125363383, 47.37141100519654, 8.541220738708867, 425.10868251913877
hl_2022-09-01-22-33-16-669.000/hetrig_125678982, 47.37168845246981, 8.541412409144117, 428.9496627494794
hl_2022-01-13-14-32-02-837.001/hetrig_119093573, 47.371593131667076, 8.537521326691266, 262.6757675578733
hl_2022-09-01-22-33-16-669.000/hetrig_127988912, 47.371711935876945, 8.541401497138805, 428.10462518249767
hl_2022-06-19-20-32-34-462.002/hetrig_126304546, 47.372231259602216, 8.540713243658196, 390.1437903324843
hl_2022-09-01-22-33-16-669.000/hetrig_116901248, 47.37160878295097, 8.54142736392488, 430.8650179881734
hl_2022-09-01-22-19-32-361.001/hetrig_130910453, 47.37104673890234, 8.541121285359639, 426.62882690991376
hl_2022-01-13-14-32-02-837.001/hetrig_129490045, 47.37126271837465, 8.541153822293637, 424.58775010110287
hl_2022-06-19-20-32-34-462.002/hetrig_128614476, 47.37221594325686, 8.540729819456493, 391.10282831940714
hl_2022-06-19-20-32-34-462.002/hetrig_133829974, 47.372180239170326, 8.54076616258162, 393.2394035518629
hl_2022-01-13-14-32-02-837.001/hetrig_128135299, 47.37127379511111, 8.541143627866264, 423.97150171495775
hl_2022-09-01-22-19-32-361.001/hetrig_134375348, 47.3710246187779, 8.541125957771841, 427.1830565896774
hl_2022-09-01-22-33-16-669.000/hetrig_135611681, 47.371781564052945, 8.541382100360424, 426.1578452007686
hl_2022-06-19-20-32-34-462.002/hetrig_138052672, 47.372042133544184, 8.541259535835746, 416.71731306232107
hl_2022-09-01-22-33-16-669.000/hetrig_137921611, 47.371797723930726, 8.541382721535209, 425.92693542245087
hl_2022-09-01-22-33-16-669.000/hetrig_130067849, 47.3717334796688, 8.541392731161098, 427.38306053769617
hl_2022-09-01-22-33-16-669.000/hetrig_140231541, 47.371811430543026, 8.54138325585958, 425.731401876308
hl_2022-09-01-22-19-32-361.001/hetrig_137609250, 47.37100262345901, 8.541134088781895, 427.8844400807039
hl_2022-06-19-20-32-34-462.002/hetrig_143797353, 47.37211176883583, 8.540837133565004, 397.3917383025271
hl_2022-06-19-20-32-34-462.002/hetrig_136574689, 47.37215962366598, 8.54078525293046, 394.3913797525738
hl_2022-09-01-22-19-32-361.001/hetrig_142229110, 47.37096748982206, 8.541148853762214, 429.0814108621379
hl_2022-09-01-22-19-32-361.001/hetrig_139919180, 47.37098552863859, 8.541140279885067, 428.4240228533829
hl_2022-06-19-20-32-34-462.002/hetrig_142411395, 47.372122038583626, 8.540827318162075, 396.80470326555826
hl_2022-09-01-22-19-32-361.001/hetrig_153085781, 47.37091058956604, 8.541191357343871, 431.82165022987687
hl_2022-09-01-22-19-32-361.001/hetrig_148465921, 47.370924087531954, 8.54117571927227, 430.9320466683658
hl_2022-06-19-20-32-34-462.002/hetrig_130231427, 47.372208024325964, 8.540740227076062, 391.67791359126994
hl_2022-01-13-14-21-00-695.003/hetrig_150848959, 47.37199826954745, 8.54122434415434, 415.8992384696519
hl_2022-09-01-22-33-16-669.000/hetrig_153629135, 47.371848004489095, 8.541381830261802, 425.08669300786215
hl_2022-01-13-14-21-00-695.003/hetrig_145785973, 47.371955525005866, 8.541252605268685, 417.7995675789144
hl_2022-06-19-20-32-34-462.002/hetrig_148714204, 47.37208044248768, 8.540870753644397, 399.34107805322276
